location,treatment,no.trees,tree.height,cwd,tree.dist,vor,brash.vol,brash.dec,brash.veg,gor.bra,hea.bil,gra.for,bar.mos,rus.woo,ferns,veg.height,moisture,canopy.cover
BHE,C,0,0,0,0,6.25,0,0,0,0,77.91666667,7.5,14.58333333,0,0,0.199583333,1,0
BHE,O,21.75,3.55,2,2.4225,30.05555556,273.7308949,3.25,3,12.91666667,52.91666667,31.25,1.666666667,1.25,0,19.61270833,1,76.66666667
BHE,Y,15,2.15,4,1.836,10.30555556,93.95914578,2,2.75,12.5,54.58333333,27.5,4.166666667,0.833333333,0,3.80875,1,13.75
BHW,C,0,2.4375,0,11.7375,5.944444444,0,0,0,0.416666667,57.7775,36.38916667,5.416666667,0,0,0.286041667,1,0
BHW,O,18,2.325,1.75,1.8495,19.13888889,51.49463058,3.5,2.75,48.65083333,37.32166667,13.21416667,0.813333333,0,0,6.287708333,1,22.5
BHW,Y,14,1.675,1.25,1.6185,22.58333333,104.7528727,3,3,3.077083333,12.69916667,16.04083333,0.462916667,0,26.05333333,1.958125,1,5.833333333
MLN,C,0,0,0,0,13.41666667,0,0,0,0,40.2775,53.33333333,6.389166667,0,0,0.450833333,1,0
MLN,O,14,2.375,1.5,1.605,8.215277778,112.4010801,3,2.5,0,94.16666667,5,0.416666667,0.416666667,0,4.394166667,1,16.25
MLN,Y,20.25,1.85,10,1.785,12.69444444,219.4901196,2,1.25,0,26.20375,32.24208333,4.259166667,19.795,0,1.24375,0.9425,3.75
MLS,C,0,0,0,0,7.5,0,0,0,0,30,50.83333333,2.5,0,0,0.282916667,1,0
MLS,O,38.25,3,4,1.615,13.44444444,82.73776952,3.25,2.25,0,62.91666667,2.5,34.58333333,0,0,13.98833333,1,55
MLS,Y,16,0.975,7.25,2.6925,0,127.9413608,1,1,0,18.75,18.33333333,54.58333333,0,0,5.482291667,0.166666667,21.25
NG,C,0,0,0,0,5.805555556,0,0,0,0,66.66666667,1.666666667,31.66666667,0,0,0.236041667,1,0
NG,O,18.75,1.85,3.25,3.7475,0,167.4900853,2,3,2.8575,97.1425,0,0,0,0,6.095833333,1,22.91666667
NG,Y,0,0.9,7.5,2.85,7.388888889,114.8644814,2,1.5,0,16.61583333,52.5475,22.065,0,0,0.651875,1,1.666666667
SBN,C,0,0,0,0,8.083333333,0,0,0,0,75.83333333,20,4.166666667,0,0,0.294791667,1,0
SBN,O,17.5,2.35,3.75,2.644,13.36111111,82.80315392,3,2.5,0,84.58333333,1.666666667,3.75,1.666666667,0,14.109375,1,55.41666667
SBN,Y,21.5,1.25,12.25,1.7225,18.08333333,189.9681808,2,1,0,42.58333333,1.710833333,5.705833333,0,0,1.777291667,1,5.833333333
SBS,C,0,0.8625,0,15.6625,6.277777778,0,0,0,0.833333333,87.08333333,10.83333333,1.25,0,0,0.321041667,1,0
SBS,O,14.25,2.3,10.25,2.225,12.08333333,141.3716694,3.75,3,0,43.79416667,42.85083333,5.021666667,0,0,0.994791667,1.083333333,2.5
SBS,Y,17.33333333,0.75,10.33333333,2.395,4.055555556,51.95173231,1,1.5,0,6.111111111,66.66666667,17.22222222,7.222222222,0,0.654583333,1,1.944444444
SM,C,0,1.09375,0,11.775,8.861111111,0,0,0,0,50.83333333,49.16666667,0,0,0,0.249375,1,0
SM,O,10.33333333,2.25,4.5,3.386666667,13.83333333,96.77833249,3,2.666666667,0,52.22222222,15.83333333,1.111111111,29.16666667,0.277777778,6.875694444,1,26.11111111
SM,Y,13.5,1.2,10.25,2.403,13.05555556,62.29189183,3.75,3,6.283333333,0.833333333,53.92,8.050833333,22.57916667,0,0.775416667,1,1.666666667
